Name,Team
D. Harrington,/player/246166/david-harrington/240038/
Fleetwood Town,/team/112260/fleetwood-town/
J. Jiménez,/player/231705/juan-david-jimenez/240038/
Técnico Universitario,/team/113746/tecnico-universitario/
D. Mikhail,/player/71421/david-mikhail/240038/
Värnamo,/team/112126/varnamo/
D. Worrall,/player/179636/david-worrall/240038/
Barrow,/team/381/barrow/
D. Tutonda,/player/223941/david-tutonda/240038/
Morecambe,/team/357/morecambe/
D. Richards,/player/214525/david-richards/240038/
St. Johnstone,/team/100804/st-johnstone/
D. Carson,/player/223681/david-carson/240038/
Livingston,/team/621/livingston/
D. Webster,/player/190033/david-webster/240038/
Drogheda United,/team/1572/drogheda-united/
M. Olise,/player/247827/michael-olise/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Wharton,/player/259240/adam-wharton/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Sieb,/player/259162/armindo-sieb/240038/
SpVgg Greuther Fürth,/team/165/spvgg-greuther-furth/
B. Šeško,/player/260592/benjamin-sesko/240038/
RB Leipzig,/team/112172/rb-leipzig/
Casemiro,/player/200145/carlos-henrique-venancio-casimiro/240038/
Manchester United,/team/11/manchester-united/
E. Eze,/player/235794/eberechi-eze/240038/
Crystal Palace,/team/1799/crystal-palace/
J. Mateta,/player/236461/jean-philippe-mateta/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Havertz,/player/235790/kai-havertz/240038/
Arsenal,/team/1/arsenal/
V. Gyökeres,/player/241651/viktor-gyokeres/240038/
Sporting CP,/team/237/sporting-cp/
W. Zaïre-Emery,/player/270673/warren-zaire-emery/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
J. Bellingham,/player/270964/jobe-bellingham/240038/
Sunderland,/team/106/sunderland/
R. Højlund,/player/259399/rasmus-hojlund/240038/
Manchester United,/team/11/manchester-united/
Vitor Roque,/player/276589/vitor-hugo-roque-ferreira/240038/
FC Barcelona,/team/241/fc-barcelona/
D. Muñoz,/player/237646/daniel-munoz/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Mainoo,/player/269136/kobbie-mainoo/240038/
Manchester United,/team/11/manchester-united/
Palhinha,/player/229391/joao-maria-palhinha-goncalves/240038/
Fulham,/team/144/fulham/
J. Zirkzee,/player/250961/joshua-zirkzee/240038/
Bologna,/team/189/bologna/
K. Kvaratskhelia,/player/247635/khvicha-kvaratskhelia/240038/
Napoli,/team/48/napoli/
C. Palmer,/player/257534/cole-palmer/240038/
Chelsea,/team/5/chelsea/
T. Kubo,/player/237681/takefusa-kubo/240038/
Real Sociedad,/team/457/real-sociedad/
V. Boniface,/player/247679/victor-boniface/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Nico Williams,/player/256516/nicholas-williams-arthuer/240038/
Athletic Club,/team/448/athletic-club/
S. Giménez,/player/245152/santiago-gimenez/240038/
Feyenoord,/team/246/feyenoord/
Sávio,/player/270409/savio-moreira-de-oliveira/240038/
Girona,/team/110062/girona/
P. Brunner,/player/274126/paris-brunner/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
J. Bellingham,/player/252371/jude-bellingham/240038/
Real Madrid,/team/243/real-madrid/
D. Núñez,/player/253072/darwin-nunez/240038/
Liverpool,/team/9/liverpool/
S. Pafundi,/player/271575/simone-pafundi/240038/
Lausanne Sport,/team/1862/lausanne-sport/
A. Güler,/player/264309/arda-guler/240038/
Real Madrid,/team/243/real-madrid/
G. Rutter,/player/245637/georginio-rutter/240038/
Leeds United,/team/8/leeds-united/
J. Hato,/player/272978/jorrel-hato/240038/
Ajax,/team/245/ajax/
F. Wirtz,/player/256630/florian-wirtz/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Moleiro,/player/264388/alberto-moleiro-gonzalez/240038/
Las Palmas,/team/472/las-palmas/
V. Osimhen,/player/232293/victor-osimhen/240038/
Napoli,/team/48/napoli/
M. Tel,/player/268421/mathys-tel/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
Arnau Martínez,/player/260815/arnau-martinez-lopez/240038/
Girona,/team/110062/girona/
Rafael Leão,/player/241721/rafael-da-conceicao-leao/240038/
Milan,/team/47/milan/
N. Barella,/player/224232/nicolo-barella/240038/
Inter,/team/44/inter/
X. Simons,/player/245367/xavi-simons/240038/
RB Leipzig,/team/112172/rb-leipzig/
T. Almada,/player/245371/thiago-almada/240038/
Atlanta United,/team/112885/atlanta-united/
K. Adeyemi,/player/251852/karim-adeyemi/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
W. Weghorst,/player/223689/wout-weghorst/240038/
TSG Hoffenheim,/team/10029/tsg-hoffenheim/
Kim Min Jae,/player/237086/min-jae-kim/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
K. Thuram,/player/247246/khephren-thuram/240038/
Nice,/team/72/nice/
Fresneda,/player/266253/ivan-fresneda-corraliza/240038/
Sporting CP,/team/237/sporting-cp/
João Neves,/player/272834/joao-pedro-goncalves-neves/240038/
Benfica,/team/234/benfica/
Aleix García,/player/228813/aleix-garcia-serrano/240038/
Girona,/team/110062/girona/
R. Lavia,/player/263620/romeo-lavia/240038/
Chelsea,/team/5/chelsea/
Antony,/player/255475/antony-matheus-dos-santos/240038/
Manchester United,/team/11/manchester-united/
M. Caicedo,/player/256079/moises-caicedo/240038/
Chelsea,/team/5/chelsea/
K. Mbappé,/player/231747/kylian-mbappe/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
T. Hernández,/player/232656/theo-hernandez/240038/
Milan,/team/47/milan/
A. Isak,/player/233731/alexander-isak/240038/
Newcastle United,/team/13/newcastle-united/
D. Szoboszlai,/player/236772/dominik-szoboszlai/240038/
Liverpool,/team/9/liverpool/
N. Jackson,/player/259197/nicolas-jackson/240038/
Chelsea,/team/5/chelsea/
J. Bakayoko,/player/265450/johan-bakayoko/240038/
PSV,/team/247/psv/
A. Gray,/player/270208/archie-gray/240038/
Leeds United,/team/8/leeds-united/
Cristiano Ronaldo,/player/20801/c-ronaldo-dos-santos-aveiro/240038/
Al Nassr,/team/112139/al-nassr/
M. Rashford,/player/231677/marcus-rashford/240038/
Manchester United,/team/11/manchester-united/
J. Musiala,/player/256790/jamal-musiala/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
M. Olise,/player/247827/michael-olise/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Wharton,/player/259240/adam-wharton/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Sieb,/player/259162/armindo-sieb/240038/
SpVgg Greuther Fürth,/team/165/spvgg-greuther-furth/
B. Šeško,/player/260592/benjamin-sesko/240038/
RB Leipzig,/team/112172/rb-leipzig/
Casemiro,/player/200145/carlos-henrique-venancio-casimiro/240038/
Manchester United,/team/11/manchester-united/
E. Eze,/player/235794/eberechi-eze/240038/
Crystal Palace,/team/1799/crystal-palace/
J. Mateta,/player/236461/jean-philippe-mateta/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Havertz,/player/235790/kai-havertz/240038/
Arsenal,/team/1/arsenal/
V. Gyökeres,/player/241651/viktor-gyokeres/240038/
Sporting CP,/team/237/sporting-cp/
W. Zaïre-Emery,/player/270673/warren-zaire-emery/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
J. Bellingham,/player/270964/jobe-bellingham/240038/
Sunderland,/team/106/sunderland/
R. Højlund,/player/259399/rasmus-hojlund/240038/
Manchester United,/team/11/manchester-united/
Vitor Roque,/player/276589/vitor-hugo-roque-ferreira/240038/
FC Barcelona,/team/241/fc-barcelona/
D. Muñoz,/player/237646/daniel-munoz/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Mainoo,/player/269136/kobbie-mainoo/240038/
Manchester United,/team/11/manchester-united/
Palhinha,/player/229391/joao-maria-palhinha-goncalves/240038/
Fulham,/team/144/fulham/
J. Zirkzee,/player/250961/joshua-zirkzee/240038/
Bologna,/team/189/bologna/
K. Kvaratskhelia,/player/247635/khvicha-kvaratskhelia/240038/
Napoli,/team/48/napoli/
C. Palmer,/player/257534/cole-palmer/240038/
Chelsea,/team/5/chelsea/
T. Kubo,/player/237681/takefusa-kubo/240038/
Real Sociedad,/team/457/real-sociedad/
V. Boniface,/player/247679/victor-boniface/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Nico Williams,/player/256516/nicholas-williams-arthuer/240038/
Athletic Club,/team/448/athletic-club/
S. Giménez,/player/245152/santiago-gimenez/240038/
Feyenoord,/team/246/feyenoord/
Sávio,/player/270409/savio-moreira-de-oliveira/240038/
Girona,/team/110062/girona/
P. Brunner,/player/274126/paris-brunner/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
J. Bellingham,/player/252371/jude-bellingham/240038/
Real Madrid,/team/243/real-madrid/
D. Núñez,/player/253072/darwin-nunez/240038/
Liverpool,/team/9/liverpool/
S. Pafundi,/player/271575/simone-pafundi/240038/
Lausanne Sport,/team/1862/lausanne-sport/
A. Güler,/player/264309/arda-guler/240038/
Real Madrid,/team/243/real-madrid/
G. Rutter,/player/245637/georginio-rutter/240038/
Leeds United,/team/8/leeds-united/
J. Hato,/player/272978/jorrel-hato/240038/
Ajax,/team/245/ajax/
F. Wirtz,/player/256630/florian-wirtz/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Moleiro,/player/264388/alberto-moleiro-gonzalez/240038/
Las Palmas,/team/472/las-palmas/
V. Osimhen,/player/232293/victor-osimhen/240038/
Napoli,/team/48/napoli/
M. Tel,/player/268421/mathys-tel/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
Arnau Martínez,/player/260815/arnau-martinez-lopez/240038/
Girona,/team/110062/girona/
Rafael Leão,/player/241721/rafael-da-conceicao-leao/240038/
Milan,/team/47/milan/
N. Barella,/player/224232/nicolo-barella/240038/
Inter,/team/44/inter/
X. Simons,/player/245367/xavi-simons/240038/
RB Leipzig,/team/112172/rb-leipzig/
T. Almada,/player/245371/thiago-almada/240038/
Atlanta United,/team/112885/atlanta-united/
K. Adeyemi,/player/251852/karim-adeyemi/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
W. Weghorst,/player/223689/wout-weghorst/240038/
TSG Hoffenheim,/team/10029/tsg-hoffenheim/
Kim Min Jae,/player/237086/min-jae-kim/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
K. Thuram,/player/247246/khephren-thuram/240038/
Nice,/team/72/nice/
Fresneda,/player/266253/ivan-fresneda-corraliza/240038/
Sporting CP,/team/237/sporting-cp/
João Neves,/player/272834/joao-pedro-goncalves-neves/240038/
Benfica,/team/234/benfica/
Aleix García,/player/228813/aleix-garcia-serrano/240038/
Girona,/team/110062/girona/
R. Lavia,/player/263620/romeo-lavia/240038/
Chelsea,/team/5/chelsea/
Antony,/player/255475/antony-matheus-dos-santos/240038/
Manchester United,/team/11/manchester-united/
M. Caicedo,/player/256079/moises-caicedo/240038/
Chelsea,/team/5/chelsea/
K. Mbappé,/player/231747/kylian-mbappe/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
T. Hernández,/player/232656/theo-hernandez/240038/
Milan,/team/47/milan/
A. Isak,/player/233731/alexander-isak/240038/
Newcastle United,/team/13/newcastle-united/
D. Szoboszlai,/player/236772/dominik-szoboszlai/240038/
Liverpool,/team/9/liverpool/
N. Jackson,/player/259197/nicolas-jackson/240038/
Chelsea,/team/5/chelsea/
J. Bakayoko,/player/265450/johan-bakayoko/240038/
PSV,/team/247/psv/
A. Gray,/player/270208/archie-gray/240038/
Leeds United,/team/8/leeds-united/
Cristiano Ronaldo,/player/20801/c-ronaldo-dos-santos-aveiro/240038/
Al Nassr,/team/112139/al-nassr/
M. Rashford,/player/231677/marcus-rashford/240038/
Manchester United,/team/11/manchester-united/
J. Musiala,/player/256790/jamal-musiala/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
M. Olise,/player/247827/michael-olise/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Wharton,/player/259240/adam-wharton/240038/
Crystal Palace,/team/1799/crystal-palace/
A. Sieb,/player/259162/armindo-sieb/240038/
SpVgg Greuther Fürth,/team/165/spvgg-greuther-furth/
B. Šeško,/player/260592/benjamin-sesko/240038/
RB Leipzig,/team/112172/rb-leipzig/
Casemiro,/player/200145/carlos-henrique-venancio-casimiro/240038/
Manchester United,/team/11/manchester-united/
E. Eze,/player/235794/eberechi-eze/240038/
Crystal Palace,/team/1799/crystal-palace/
J. Mateta,/player/236461/jean-philippe-mateta/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Havertz,/player/235790/kai-havertz/240038/
Arsenal,/team/1/arsenal/
V. Gyökeres,/player/241651/viktor-gyokeres/240038/
Sporting CP,/team/237/sporting-cp/
W. Zaïre-Emery,/player/270673/warren-zaire-emery/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
J. Bellingham,/player/270964/jobe-bellingham/240038/
Sunderland,/team/106/sunderland/
R. Højlund,/player/259399/rasmus-hojlund/240038/
Manchester United,/team/11/manchester-united/
Vitor Roque,/player/276589/vitor-hugo-roque-ferreira/240038/
FC Barcelona,/team/241/fc-barcelona/
D. Muñoz,/player/237646/daniel-munoz/240038/
Crystal Palace,/team/1799/crystal-palace/
K. Mainoo,/player/269136/kobbie-mainoo/240038/
Manchester United,/team/11/manchester-united/
Palhinha,/player/229391/joao-maria-palhinha-goncalves/240038/
Fulham,/team/144/fulham/
J. Zirkzee,/player/250961/joshua-zirkzee/240038/
Bologna,/team/189/bologna/
K. Kvaratskhelia,/player/247635/khvicha-kvaratskhelia/240038/
Napoli,/team/48/napoli/
C. Palmer,/player/257534/cole-palmer/240038/
Chelsea,/team/5/chelsea/
T. Kubo,/player/237681/takefusa-kubo/240038/
Real Sociedad,/team/457/real-sociedad/
V. Boniface,/player/247679/victor-boniface/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Nico Williams,/player/256516/nicholas-williams-arthuer/240038/
Athletic Club,/team/448/athletic-club/
S. Giménez,/player/245152/santiago-gimenez/240038/
Feyenoord,/team/246/feyenoord/
Sávio,/player/270409/savio-moreira-de-oliveira/240038/
Girona,/team/110062/girona/
P. Brunner,/player/274126/paris-brunner/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
D. Núñez,/player/253072/darwin-nunez/240038/
Liverpool,/team/9/liverpool/
S. Pafundi,/player/271575/simone-pafundi/240038/
Lausanne Sport,/team/1862/lausanne-sport/
J. Bellingham,/player/252371/jude-bellingham/240038/
Real Madrid,/team/243/real-madrid/
A. Güler,/player/264309/arda-guler/240038/
Real Madrid,/team/243/real-madrid/
G. Rutter,/player/245637/georginio-rutter/240038/
Leeds United,/team/8/leeds-united/
J. Hato,/player/272978/jorrel-hato/240038/
Ajax,/team/245/ajax/
F. Wirtz,/player/256630/florian-wirtz/240038/
Bayer 04 Leverkusen,/team/32/bayer-04-leverkusen/
Moleiro,/player/264388/alberto-moleiro-gonzalez/240038/
Las Palmas,/team/472/las-palmas/
V. Osimhen,/player/232293/victor-osimhen/240038/
Napoli,/team/48/napoli/
M. Tel,/player/268421/mathys-tel/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
Arnau Martínez,/player/260815/arnau-martinez-lopez/240038/
Girona,/team/110062/girona/
Rafael Leão,/player/241721/rafael-da-conceicao-leao/240038/
Milan,/team/47/milan/
N. Barella,/player/224232/nicolo-barella/240038/
Inter,/team/44/inter/
X. Simons,/player/245367/xavi-simons/240038/
RB Leipzig,/team/112172/rb-leipzig/
T. Almada,/player/245371/thiago-almada/240038/
Atlanta United,/team/112885/atlanta-united/
K. Adeyemi,/player/251852/karim-adeyemi/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
W. Weghorst,/player/223689/wout-weghorst/240038/
TSG Hoffenheim,/team/10029/tsg-hoffenheim/
Kim Min Jae,/player/237086/min-jae-kim/240038/
FC Bayern München,/team/21/fc-bayern-munchen/
K. Thuram,/player/247246/khephren-thuram/240038/
Nice,/team/72/nice/
Fresneda,/player/266253/ivan-fresneda-corraliza/240038/
Sporting CP,/team/237/sporting-cp/
João Neves,/player/272834/joao-pedro-goncalves-neves/240038/
Benfica,/team/234/benfica/
Aleix García,/player/228813/aleix-garcia-serrano/240038/
Girona,/team/110062/girona/
R. Lavia,/player/263620/romeo-lavia/240038/
Chelsea,/team/5/chelsea/
T. Hernández,/player/232656/theo-hernandez/240038/
Milan,/team/47/milan/
Antony,/player/255475/antony-matheus-dos-santos/240038/
Manchester United,/team/11/manchester-united/
M. Caicedo,/player/256079/moises-caicedo/240038/
Chelsea,/team/5/chelsea/
K. Mbappé,/player/231747/kylian-mbappe/240038/
Paris Saint Germain,/team/73/paris-saint-germain/
A. Isak,/player/233731/alexander-isak/240038/
Newcastle United,/team/13/newcastle-united/
D. Szoboszlai,/player/236772/dominik-szoboszlai/240038/
Liverpool,/team/9/liverpool/
N. Jackson,/player/259197/nicolas-jackson/240038/
Chelsea,/team/5/chelsea/
J. Bakayoko,/player/265450/johan-bakayoko/240038/
PSV,/team/247/psv/
A. Gray,/player/270208/archie-gray/240038/
Leeds United,/team/8/leeds-united/
Cristiano Ronaldo,/player/20801/c-ronaldo-dos-santos-aveiro/240038/
Al Nassr,/team/112139/al-nassr/
M. Rashford,/player/231677/marcus-rashford/240038/
Manchester United,/team/11/manchester-united/
J. Sancho,/player/233049/jadon-sancho/240038/
Borussia Dortmund,/team/22/borussia-dortmund/
